model_id,model_type,language,weat_category,layer_index,layer_name,attribution_score,baseline_bias_l2,localization_ratio,is_significant_layer
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT2,29,layer_29,0.10531494140624997,0.0,0.0,False
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT6,0,layer_0,0.010017089843750005,0.0,0.0,False
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT6,1,layer_1,0.010544128417968745,0.0,0.0,False
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT6,2,layer_2,0.012525939941406251,0.0,0.0,False
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT6,3,layer_3,0.015706787109375002,0.0,0.0,False
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT6,4,layer_4,0.05020874023437498,0.0,0.0,False
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT6,5,layer_5,0.048963623046874974,0.0,0.0,False
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT6,6,layer_6,0.04869140624999999,0.0,0.0,False
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT6,7,layer_7,0.05195434570312498,0.0,0.0,False
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT6,8,layer_8,0.053167724609375,0.0,0.0,False
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT6,9,layer_9,0.054801025390624994,0.0,0.0,False
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT6,10,layer_10,0.05778442382812501,0.0,0.0,False
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT6,11,layer_11,0.05832153320312501,0.0,0.0,False
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT6,12,layer_12,0.0606689453125,0.0,0.0,False
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT6,13,layer_13,0.05650146484374998,0.0,0.0,False
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT6,14,layer_14,0.05359130859375001,0.0,0.0,False
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT6,15,layer_15,0.05481811523437501,0.0,0.0,False
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT6,16,layer_16,0.05743530273437498,0.0,0.0,False
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT6,17,layer_17,0.059801025390625026,0.0,0.0,False
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT6,18,layer_18,0.06493896484375,0.0,0.0,False
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT6,19,layer_19,0.06942138671875,0.0,0.0,True
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT6,20,layer_20,0.06881835937499999,0.0,0.0,False
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT6,21,layer_21,0.07305664062500006,0.0,0.0,True
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT6,22,layer_22,0.07980957031250001,0.0,0.0,True
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT6,23,layer_23,0.08782958984375,0.0,0.0,True
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT6,24,layer_24,0.08564208984375005,0.0,0.0,True
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT6,25,layer_25,0.09387939453125,0.0,0.0,True
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT6,26,layer_26,0.09679443359375002,0.0,0.0,True
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT6,27,layer_27,0.10449462890624996,0.0,0.0,True
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT6,28,layer_28,0.11733886718750003,0.0,0.0,True
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,en,WEAT6,29,layer_29,0.09320556640624998,0.0,0.0,True
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,hi,WEAT1,0,layer_0,0.02029901343215964,0.9867919356761153,0.0,False
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,hi,WEAT1,1,layer_1,0.0234834101747655,0.9867919356761153,0.0,False
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,hi,WEAT1,2,layer_2,0.028984558622149957,0.9867919356761153,0.0,False
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,hi,WEAT1,3,layer_3,0.0359148051507077,0.9867919356761153,0.0,False
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,hi,WEAT1,4,layer_4,0.11858300573598121,0.9867919356761153,0.0,False
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,hi,WEAT1,5,layer_5,0.11576603938675299,0.9867919356761153,0.0,False
DebK/MobileLLM-125M-finetuned-alpaca-hindi,finetuned,hi,WEAT1,6,layer_6,0.11620259034918182,0.9867919356761153,0.0,False
